tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2026-M-ITF-TUR-2026-001,M25 Antalya,Clay,32,25,20260105,113,200184,,,Andrey Chepelev,L,178,RUS,27.4,212830,,,Samuel Alejandro Linde Palacios,U,,COL,18.1,3-6 6-1 6-3,3,R32,124,2,3,65,47,29,11,12,2,6,3,4,89,58,32,11,13,7,14,461,97,755,39
2026-M-ITF-TUR-2026-001,M25 Antalya,Clay,32,25,20260105,106,126185,,,Evgenii Tiurnev,R,191,RUS,28.7,212624,,,Nikola Jovic,U,,SRB,19.0,3-6 6-4 6-3,3,R32,129,8,3,77,43,33,19,14,11,14,1,6,97,66,43,16,14,9,13,838,29,1292,7
2026-M-ITF-TUR-2026-001,M25 Antalya,Clay,32,25,20260105,114,207708,,,Dusan Obradovic,L,,SRB,24.7,207704,,,Alex Marti Pujolras,R,185,ESP,26.9,6-4 6-3,3,R32,82,1,0,47,24,17,17,9,1,2,1,5,67,42,24,13,10,5,9,566,69,505,84
2026-M-ITF-TUR-2026-001,M25 Antalya,Clay,32,25,20260105,112,208269,,,Felix Gill,L,175,GBR,23.5,200024,,,Makoto Ochi,L,175,JPN,29.6,6-0 6-2,3,R32,72,1,3,38,25,20,8,7,0,0,1,1,49,34,13,7,7,5,10,371,128,1333,6
2026-M-ITF-TUR-2026-001,M25 Antalya,Clay,32,25,20260105,105,210042,,,Gabriele Piraino,L,188,ITA,22.1,214374,,,Panya Stauffer,U,,SUI,22.8,6-1 6-2,3,R32,76,4,3,37,25,23,7,7,0,0,1,10,74,33,17,17,8,14,19,342,144,,
2026-M-ITF-TUR-2026-001,M25 Antalya,Clay,32,25,20260105,115,105011,,,Illya Marchenko,R,185,UKR,38.3,214170,,,Cagan Efe Tufecki,R,,TUR,22.2,6-0 7-5,3,R32,98,1,2,57,30,22,12,9,4,6,0,0,59,44,19,8,9,8,14,1347,5,2171,1
2026-M-ITF-TUR-2026-001,M25 Antalya,Clay,32,25,20260105,111,208250,,,Mihai Razvan Marinescu,R,,ROU,24.3,213970,,,Nicolas Hurtado Novoa,L,,COL,,6-0 6-2,3,R32,62,1,2,37,19,16,10,7,0,1,0,1,37,33,12,0,7,1,7,939,21,2092,1
2026-M-ITF-TUR-2026-001,M25 Antalya,Clay,32,25,20260105,104,210682,,,Federico Bondioli,L,185,ITA,20.6,213856,,,Calin Apostol,U,,ROU,18.4,6-3 6-4,3,R32,82,0,4,48,27,17,12,9,0,3,0,4,52,35,17,8,10,2,8,439,106,,
2026-M-ITF-TUR-2026-001,M25 Antalya,Clay,32,25,20260105,107,208071,,,Oleksii Krutykh,R,185,UKR,25.8,213618,,,Daniel Lechner,U,,ITA,,6-1 6-1,3,R32,59,4,1,35,17,16,13,7,0,0,2,3,47,25,16,4,7,1,6,571,67,,
2026-M-ITF-TUR-2026-001,M25 Antalya,Clay,32,25,20260105,102,210732,,,Miha Vetrih,U,,SLO,23.3,212831,,,Samuel Heredia,U,,COL,19.5,6-1 6-2,3,R32,77,10,2,55,28,25,14,8,2,2,3,3,55,27,14,14,7,7,11,1332,6,756,39
